,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
LPS27,-48.16696861031738,-52.27400980356163,62.24918622929129,-14.226723623401263,-17.527648048710667,14.74792559806421,7.7310873189316975,32.85987419313943,-9.59477293440925,16.81369634291896,9.042120621879567,-1.5973374267013911,-5.083082764034378,0.8503456675343213,0.16594033997189575,-11.983717796075574,-1.722748566379593,8.14783789439837,1.0660636167943305,10.139603618610147,-6.670003699594801,8.844662496153468,-15.371464411380984,-1.050594753100925,8.975022976754603,-2.522050070257562,14.141619740767666,8.4487812547328,0.1593357595533887,0.3343258597470138,-15.923905038705115,12.812184761588618,-8.106051212829264,4.861695218315415,-4.041317161463373,-14.583000111371136,-10.733108931444365,-8.195261825177175,-7.182781206874925,-1.4431143124481922,-20.336962074231224,-10.108641108830488,-1.3663018067478983,-6.637477127447321,0.802186968478006,-8.929769194781427,-11.89817261316463,16.657035514550575,-1.1407611968767961,5.941361227790456,-7.877349093712925,-5.647343534482686,2.149859977100857,-13.486257569148563,0.7683812910849989,3.4458761101029185,-10.190124924379546,-7.096063515546878,-5.23241651210525,1.4238949241315524,6.531778738032759,5.244847507549502,4.665657551907682,5.626691755809259,5.460337257575733,0.5564845967066823,1.9818677539805312,1.6898925942753524,6.070411182317092,-8.225337658305236,7.55045547353923,1.5653308642582768,3.766887416208678,6.7297216131146,3.8259286548659404,10.538509700879406,-3.2986487818744124,-8.891062092939872,6.651804776178715,-2.3413697863473035,-0.010406622547904377,-1.0089086985744524,4.391261272700685,-0.4783549579082805,0.6119286510972534,3.587659083136887,0.5904527103797894,-5.576776294132651,0.6585558784645557,7.012692218404435,-1.5535822210208683,-0.1472260582596099,-5.842860540441585,-3.4994124950283276,2.304106367863986,-1.5336946914868532,-3.275954957691153,-2.394907954507809,-5.1724797199840955,5.426804662506445,5.7648368929574225,9.919968865976548,8.437433949244307,-1.4005811195652926,3.9284900338414475,-3.8562335927194633,1.626111674759777,-1.3967541003411785,6.511813730404384,3.177008714701516,6.134129099894862,1.443801002449315,2.9916367417299816,-6.8067714211281345,0.17368078745982482,1.8858095522908602,-3.1804331321872086,3.915041511235023,-1.2456081643584882,1.2859748075892914,2.9499759057441315,-3.2803257674957234,-2.9201556514220357,-0.52621657834559,-1.247949655789159,-7.497654023802582,-4.569311078662286,-0.1944362041073836
U266B1,74.5580997610258,-12.821167374489775,-3.7462493176480294,-30.655259853403397,3.2993399596251463,6.377116282165658,18.124463379904387,20.292874312683505,26.36484233995423,-28.741007936518553,15.35054738419094,-32.436763511256025,-19.751663899361482,2.974070469395534,20.464859856757553,-15.188007655655275,11.680247985163195,25.74090184306653,-10.78529888767515,-3.088769316625225,3.282036072397905,-12.226201601075173,24.415846143226755,7.792511966025316,-7.381532905260336,6.497024310887933,-13.25094182255047,9.557900429566168,-3.8561921618361,-1.7495193024846887,-6.672666336251244,-7.469267186608606,7.228830570365879,10.251338235515702,-7.6421731697,-14.736876070311219,5.692613060328197,6.244086869590682,-7.977483914428214,7.829259960490499,-4.99348434642032,7.9616441179023925,7.183539663577702,6.907119116653427,3.213074589732252,0.057968151839805505,-3.7409711563093317,9.143049051751031,4.786570566825086,8.277305952154869,0.3729757651711873,7.36883123756381,2.8259304125477698,3.064550132067148,-10.901620550106756,-11.935282737430253,2.5094893035098753,-8.140051116388529,11.581318539948489,-3.6574131778146906,8.930090299623625,-6.147386196778934,-10.584696110734187,3.3952982656416717,-10.74748907019681,5.690619339216539,9.60377284302936,0.6224655325903464,-0.8206165974805644,8.482484395283207,8.037413639217917,-0.34392546156861387,-0.6089797772619512,-3.6579823570802175,14.28178877882311,-5.098800717474459,-0.07413697080731538,3.963168446138754,-6.409342751514745,-4.90729015063718,1.9670118004104844,4.642170983986029,-0.9713383501343948,1.842670135577632,3.203711651883149,-2.5868629256837417,4.17306710865431,6.125162424086329,-2.6063533619967303,-11.944056613647245,7.492267676448308,10.330403738084728,10.248029616831301,2.2068086392534387,-0.745841694089453,8.156917739719242,-0.9109024290864854,8.650193046317622,3.6424816622205287,5.267494246569073,0.7564793078180233,1.217877650545967,-9.745324327738624,-1.214734351638686,-5.083326819301662,0.7288980311006896,1.8108512130664842,-1.3042349279613275,-0.3994656664968924,-2.1801213165353035,-5.226163305925522,8.49925397266781,-4.866064290733605,-5.6517680660820595,-2.1494313602689865,-2.984111920776549,-3.672340863740321,-1.219816924239205,0.9249996005360057,-0.7879547515380307,0.6914254016717448,1.0034933691843793,7.7541936065412145,-5.062693577389315,0.9209053744862776,11.94706096872995,9.456513966812597,-4.249259468228099
SKMEL24,-41.20558448181835,-53.87438243355664,33.17851762999736,-9.481628474761369,46.5024732841822,47.261547023480134,41.01429604846344,-1.1212906128553877,11.979913602017781,-2.521610140274573,-13.156696333882456,11.87761205082027,6.743662954681944,-3.44075056892012,-4.420191083678554,-1.0751211234817006,5.741887900051202,-3.4776657517749934,0.8574949784879444,-2.1694895609756135,11.619347899557267,-9.532127362559411,-0.6638593649213728,-11.890259577543725,6.081286286750573,-5.372481672545774,6.599393407267843,-17.735232852902218,3.549186063036565,-13.99659892710543,-17.481306948057238,-3.1012770996746837,6.58140256279307,11.097655279151368,22.727392786310567,-0.18100357865250008,-5.528873211071359,-19.008183693601794,-12.45047962614663,-1.8215197335410556,0.7738885530722621,-2.530867505121145,12.366429317892646,13.187895478356712,2.5452150667834137,-7.893964790910831,7.888952279840457,8.618175196017953,12.226120778561587,-13.023143355244084,-10.273996925024358,-12.86514737784758,6.353511151755396,-1.2835755211723756,10.702518661291275,-4.522678282719448,-6.717254797326413,17.13674677056804,0.7027105368549349,3.106678028590556,-6.12042167893236,-4.702935742464774,-5.338771772492427,2.4360724887110212,2.5997567391678005,-0.7203045205409705,2.158091756933276,-6.750160944602306,5.520159523125432,-3.3506460831347593,-1.9706162376107124,1.8156816946995111,8.29798475653205,-0.7464150540819818,-6.2915934138066,-4.934390068840512,1.4922700889285703,9.75181296495407,7.06985568593377,1.8469176531872933,0.24542638110580903,0.025016897355463866,0.9213036759874452,5.320324671302436,-8.700424005663452,-4.054086147013791,1.5331741951926459,1.4550952751309285,1.6298286575758705,10.507497614850827,0.7601252685011245,1.9812093584978936,2.13657824017002,6.53801932665738,-1.8236611312320647,0.788352296007078,0.12293315844118616,1.9122426606724818,-2.0655473093786143,3.9842678581633373,-4.053626388351732,5.052974773529788,2.9488243214475367,5.387729166174329,-0.7462313647737769,-5.3719539331538195,-1.1185201836319214,1.9642036748437388,5.216509166391473,-4.032815094967291,4.800557430229131,1.1189163440772074,-1.2332838994416149,-2.6810889358664505,3.4508578782266914,-5.244749476829371,0.041587379010144324,-1.8865104143792044,-6.268216603480057,-2.5051277969065655,-3.550002440220583,-1.2205919352746029,2.1944202920029143,0.6616936179012997,-3.555074320382314,3.2363996596338778,0.5193272358461741,-0.36570797681628936
TALL1,105.39590833562617,-20.638544970625578,-9.846440520682602,-40.950636367179655,-20.47238942219677,-5.529548419039444,-1.8703676023849056,0.37990596601064397,-18.022046969183855,11.285603058955237,4.461956300311094,18.86427456097799,5.6302415602384865,-3.6699773835801164,-27.199039003957342,22.10835124765813,1.6400002434609466,19.428389317487255,12.224091677431588,-17.39513816630745,34.40532889280887,-1.5743867225872938,-2.627752965316437,31.71857395737666,19.760626189464183,-14.14854873077816,-18.994833163890988,1.1698176623843088,-0.4998893379365919,13.673860104727726,-8.42474765586698,-2.12043165183812,16.33175226794914,-19.65340946567508,-18.300910372505953,-10.036652384645649,14.760530660110076,-15.294014242731205,-4.600075252394469,-5.684561741543294,9.911003272768507,-7.265182609686863,-0.9024980888931226,7.568547361472859,6.002074110030838,-8.957692230147817,9.496132301171299,4.986072507824304,3.095748829427185,-4.806586927149729,2.9145309083883233,3.188378795875637,5.037811337818049,-3.5053250101446927,-8.183969275086989,-3.0746093671410724,0.014991945052697533,13.403066154481863,-1.7460104852114344,2.4380810643793693,-5.320726510377993,0.06731260894282569,-4.609006001573431,1.2161450762948538,2.5375898014472593,-1.0106709433644296,5.2088666922864855,-2.238857001136652,-1.5258512349610256,-0.8359041390016491,-0.560562310614374,8.338416367164914,-4.004634779819,-6.458849538452525,4.004307624135312,-3.0049934836655847,0.1042392170051687,-0.6275737047409176,5.417539556805591,-2.7430421065745745,-0.6811131058194002,-6.05178256355593,1.9414876281953244,-1.9685694303171832,-9.338808387620533,0.7358449786771015,-6.234682570358043,-3.4898798957303,5.234109964960012,-3.677105045998932,1.011665367850649,-0.37194186082892966,-1.6640664350653325,1.8851545525517512,-7.540858955297117,-0.024702887961879395,2.6924456175553453,4.488754840208285,2.8464558522902643,-6.4739286793739,4.855813318897934,1.3364285441874062,4.527778222898464,3.894605388268724,0.06517019585151405,-1.0179598416936422,-0.4715125246656004,3.326581417704974,-4.753843655497521,8.18477272272739,-0.531603608018421,4.707526770417441,-3.5050944042753494,-6.075820697928765,4.568956084538021,7.233382725130128,4.184686669816773,0.7561273713041514,-2.046971041016167,2.935243023693318,3.1446463483679885,0.06076540140466728,1.5061449200953123,-6.473807904395302,5.306793162436224,4.164486456898756,-5.37751090892652,0.9563600726056405
DAUDI,130.46588282575118,5.121155780405835,14.484074341059777,-43.57345501986046,-20.2724728678782,4.2922050644923715,7.8051641860066665,18.300009703783967,21.06533044389425,-36.15174694007145,7.218776567018558,34.9518180794395,-6.333195109185622,-10.38476989871814,5.156706060505955,2.139496223412483,4.805912055856088,-24.809505497289635,4.255268056426935,-17.052336188112772,-14.908051761975099,7.536599706280797,-13.222304746277082,-4.375107203652167,-16.67685178494364,2.8179565622945226,1.464372403484762,-17.24294529359869,-3.8051886455797335,8.174738187342914,10.342824402719744,-10.135219411812104,1.1582170012948934,-7.121642418803041,1.8299528225931454,5.055446311982204,-3.305607767513579,-6.718920990244256,-15.210273435217406,-2.200783767746238,-14.068498888898436,-5.392692776131693,0.3713406574364872,1.583750570955919,0.4166106864029892,-7.617939767901582,-11.303468119521716,5.265499187541774,-1.151243263568265,6.751171532373402,6.146901387569348,1.5516410084402212,-1.828508396428938,2.906953892066819,-4.52222383243002,-4.384046889600323,-10.59966602628984,-4.82711350133693,3.666705228818454,-4.753390519422421,2.023243515962065,-0.5371991922715902,-2.8518293522774973,1.363209909358695,-2.50250489750252,2.570348695988773,-0.9813728854386036,-0.02876978982680189,2.2583686277011727,2.2478559949135253,3.5886037320619937,0.49102920918668425,3.5708017757962875,6.780398114786615,2.3252473978706885,-3.7642910936337666,4.115185831379489,-3.8715772554652386,9.625294929149641,-0.14456881192540766,-0.2795870061977803,-4.622978220009682,2.194075712217312,-1.1395892325167967,-2.644677461225227,4.360806837502783,-2.3637575312441363,-5.430167099707443,3.6827133322717565,1.8721055815746175,1.2517925008372512,-4.047690557471801,-6.693497360718298,2.889955303482853,-1.2934858315884254,4.5190928271636714,2.031784622718663,6.646480167788286,0.08737370937277819,-1.3716694931429112,10.497581863880958,-0.2667568512888637,0.2862097187148916,1.5700851607569357,1.4739338259105845,-4.780531788137674,2.00136929590999,0.3918686896347268,3.077284113984154,5.409436500602785,2.8716019070207714,-0.19055506415710574,1.0520305652890107,-3.3426574368359985,-0.4706940315062253,3.2123638479268606,2.5366639432155553,-3.0690963539429315,4.237978310199068,1.1211289950941954,-4.137001567920614,-1.2507759207808875,0.6376653366552747,-4.9718930941533985,-1.3860853479202184,-3.911943046777474,-4.9453831688028576,4.404030791719338
639V,-7.2234663811422415,-32.698784277951965,-20.42568072100015,-12.508220539672461,3.08903868574666,-39.82009693170418,-9.043414959116696,-19.10909966834048,0.9898541510792664,-10.540946954192917,-16.716111669224286,-6.208116948033084,3.1441521103774313,-13.758752090347524,-3.87996983989061,-10.862453382835275,-13.651648337887323,2.8202545189687216,-2.878263910642928,0.9713078052723401,-6.315845481462971,0.838331321043279,1.549525510733309,5.944927688373399,-5.674163954881812,-7.484952595365923,0.47842587070759374,13.424818396737724,-0.7292105279331667,-3.834261934175014,0.46857028762450326,9.40402023224334,8.226705622389197,-13.615417568411274,6.827089061746473,5.146267888783107,-6.9849658385548805,1.2238366298649017,6.775272179401995,-1.809601127216545,0.1648874014707114,1.8755729945795974,-6.000423757747004,-0.9789419491112632,2.99969836782382,-3.632645139391423,-12.998795787798105,-4.980064246083997,-9.328180594241058,-10.419288280933634,1.5278657474632005,10.226198457108424,-10.950468841138344,-2.346544540197126,11.103478788695446,0.8395733531144653,-2.0879190871724105,10.913688850246729,-5.6646139462021186,-3.945262354237804,3.0705136516427403,-6.741878712472322,4.5998278548563984,-9.21882185644469,-0.8116976949271242,6.224278385232139,-3.8604338689007975,-4.923831029261545,1.2485552955286543,3.17518472545855,-9.002047647945707,5.2970518624038885,-2.146921256889061,-6.685823695435433,-1.9981047138680965,-5.468125397465314,-5.161717359584361,4.717523408314173,-1.5466350490739331,0.912493485571801,-2.979827170279292,-7.6891589500988236,-1.3633854790485012,-2.622284257338814,-2.3667861840172653,-2.2850234153003584,1.9379147079428953,-3.2220858840594,2.8836221037787175,-2.922507532752217,-5.839025773735353,0.631627144704193,-2.678122171806739,-1.2707551176742318,-3.359251741558004,-4.636740367646283,-2.389536677689208,-2.983700727770765,0.09999912972175588,-6.977885513151786,-1.8848585839063894,-1.2827432852387328,-1.986083520828954,4.9915811488534665,-0.82090064152356,-2.7648859771700454,-0.427799987809955,-3.161519336227394,-5.901948345484557,-9.59856286469079,-3.566959519317494,-1.6862051693687188,-10.344079884351258,4.116093255982373,-0.1912609691723706,0.8183552876001841,-0.7120056850876451,2.9156457244267497,1.0520393357257043,2.094897511542937,0.2730137243700845,0.8780034557991828,5.818301819776489,-4.326130101286604,2.8894266283653067,10.014182426331288,2.98558020012476,5.982512555249119
SNB75,-65.17817078434365,-74.42731361560318,5.056326883263301,-27.850238351342384,-0.3523723345157193,33.08842911527679,12.0687152255744,2.1704755427015106,-6.155828588984947,-7.331085779292943,4.967931194041384,15.904138021684123,7.193167014392212,23.576983526507895,-15.047252520774357,-15.262986703141667,-4.263805968968077,15.465787015740142,-13.943363500561377,-5.001560653884942,-0.8119511349476034,4.664975262058522,4.123676743963689,-10.456680346334384,-11.09025137449352,-3.71719159383481,11.849472428886505,-2.0108477155047804,11.905603094332857,17.507367728413822,2.8899081598719665,-1.3319174004502334,1.8453874564584622,2.862128566974099,4.536605801046541,-6.959504601031653,-6.000276076632709,0.5231022607222993,-3.9901436247485558,6.530831014327603,-0.7115044631218236,-12.509661829568495,4.725072765106676,6.93993864570186,-0.48873620264706297,-4.482894626134352,3.2250930245888574,-8.9305779056649,1.0536286840315725,-5.366605957626084,-0.31008954655131127,3.5691434223994287,1.1794936297476644,5.075916980627395,1.7426886173293938,-0.493246796550285,-1.1628244064689164,-5.771000814194874,-2.5266084042094885,-10.069561667806449,1.1799013421680755,-3.1759001037544428,8.272026412622857,-2.7882076640585325,-0.7582623506413829,-0.997818539960396,-2.7838953324121944,9.724362657075226,2.185845218046912,-1.830529008191735,-1.3122627495350718,0.7912567771681892,-1.46245244923336,-1.5468475953153449,9.977903214114654,7.542319598980915,6.953112139740909,2.5532013048137414,1.523965592792509,10.869960636200105,0.2237347335377477,-2.110716549341356,1.9402332935346298,-4.101615238960257,-5.209827973645723,5.588765030220125,4.811274450156109,-0.5430300432783743,-2.8293642499785143,9.14774162505011,-0.49515153736770784,3.0679575858522123,-3.992901342807024,3.672504998456618,-3.6643484159725928,-7.26334283112859,-0.26429806544882517,1.9146558142548915,1.2057818299430336,-0.46189284720937784,2.447012401634242,-5.0063687734383135,-0.7105790769307817,3.2632468610011665,-2.7387839111544574,-1.9012159099026975,-6.7328859121588005,-2.075239394358026,-2.096748060819149,1.2151978372671814,6.509234014761991,3.5455427903042818,-2.2195405172107825,0.2807461469800573,-3.0782304292398246,0.38623210691450216,4.681167586524398,1.6415456286615984,-4.072061232475419,4.520360588901735,5.250593957494327,-1.340497260578276,-3.4658296035305414,2.4569356753486806,-0.19008829683318224,-2.801994845900593,-0.05292608127119664,-2.3350820296220096
HCC1937,-45.87142855099736,49.82103289054231,-39.23871268122627,-35.11621126018754,-23.089286948260426,4.795827105466851,17.70933273609099,-18.35932034078709,-3.988455907491276,-4.556677966302865,12.283655179952007,2.9057125845031315,17.46275825118199,-7.91446928308041,-8.16113505209081,-15.233335024639496,5.378343561186996,3.9587603141638086,-10.04885190296599,6.625636205106212,-1.5890902916551906,4.309379455550921,5.714804953828527,9.769073167504095,-20.268901132096982,-5.393457540415077,-2.3833527212404557,1.5959963741525558,4.1297391522870655,-5.177410422887888,-4.176122341273683,-11.786166366272974,-2.8292263619341464,-3.1800612934436487,-2.1770892584598838,-5.86341004449162,-1.4883730703547537,-16.46163861264453,-4.86073222894495,14.674527039685813,4.8829293737696275,-10.765369850857923,1.3405691630438392,-3.2887955680076186,14.58644905088673,-0.44066003834168166,-6.784720709620968,-16.32467361111758,1.4631088232171976,7.436838399066509,-4.427560401477331,7.899795660621653,-5.083090416867967,1.006382488665889,4.6158017757668395,5.965783536341259,-2.8608418714354373,-2.3037016237642414,-11.35139498277504,-1.0418124437497385,3.2403907854061633,6.551191677570564,3.5827558985573305,-7.783387802908748,-2.9806557551372674,12.20441256457831,8.491142177242756,4.55922944551225,3.660365472686665,-0.19349035879404802,-0.3938892310143557,1.8952356045905587,8.44731207450567,1.3894416144046047,0.7064630923292633,-8.607147104276281,-3.2456388385996893,5.133711748455395,-5.954521125341308,-5.653108729418971,4.776702796844809,-7.024332482427926,3.2145541572961687,8.658349821679469,1.5557708059226611,-3.622727519704985,-2.0814988978314504,7.101273189395769,4.578581139011811,-0.7784411576563224,-1.4909947173133216,-2.03236703732171,-2.354764542974295,-12.241323194548825,0.7164495692086089,-6.561202582211112,-6.138077230138348,2.2555491684153997,1.8224394712943541,-7.006201576850484,4.79188991239198,2.465492974303012,4.120234710229426,0.07069336655431241,9.417856766402624,-1.8567402931205403,8.376188387212268,-2.8821921878871493,7.229505231020428,-2.0649635193389657,1.8430628336528556,6.230931617218222,1.771720999762376,-0.08595250484764108,-1.7399968945734123,-0.9521711754622407,-2.1368713599183007,8.13088932529077,-0.5856744841573662,-0.03705690741104721,0.9941541930642082,-1.8592714324719453,2.1334890512540774,-0.5267502558156371,-3.477957503246655,-8.155048224266885,-4.53092315671566,-3.026658626049076
SNU620,-4.533641655843381,73.03960895414596,-45.93976826525707,-16.195890423368596,40.62954321297676,14.76910469613388,-33.57905020748811,20.254395995522366,-26.298635858717876,-10.994720170063522,-12.988208787468329,12.145496096861299,-14.833503310662751,2.733452490386431,-17.184945108333515,3.3302148982181494,-0.8120521995354945,6.943565689536485,-2.4359194847639136,-0.8684315121336936,-8.785559514643571,1.4064576870828196,-5.082584025886566,0.6676217298903323,-6.371777929052822,-2.357598722310494,0.8877384622629546,4.985627884389174,8.195523597706408,6.882531197146011,0.35638797954554663,-5.226081632911386,-4.414162764358379,-7.939597623605403,2.2129530077196504,-4.607415688308338,-10.872002695270796,6.824785650862459,-10.550781548919371,-0.32963210810281496,7.757013951792173,0.2533132392961734,-4.689571932802664,8.678129667733709,-0.2760105921796806,16.230485278859636,-2.311157457924927,5.0069180936828435,7.6242053927062,-1.9800668568659852,-4.58553714358092,10.418128048147427,4.203015217072062,0.15472713746873076,-6.863263534253624,-7.023921831348787,-3.8695945021652847,3.5516728205507047,-2.2848327520350327,-7.15824645962121,12.00019430000502,-12.203219389130549,10.55299075219966,7.423093887963461,5.892386644919971,3.157298885540008,0.5358565386538164,1.1313591574344783,-2.9106101876803754,6.381599768621461,-10.485408090716849,11.450951592572375,5.796689848604877,11.773972356562064,10.825395964974161,5.406430126468852,-1.936997776623293,-16.465815071635372,2.6632572820826947,15.347631556109151,18.26979657849351,-1.9956432090014964,-4.650334150270091,2.175404167514237,-7.796499664513542,3.113007206554071,-0.8538459476450169,-3.7280762169092063,1.4622016744881086,-5.278483176295332,4.451052027631801,0.1682869133695098,4.359236574135626,-5.4357868060720405,1.1838056150302585,-1.7356028501011191,-0.8066742274204171,-2.8292990270092053,7.66461803277908,7.841096278657571,4.510568696472777,2.505435000443476,-7.1580419040000995,2.1765452343827834,14.558807297201541,0.229378801263578,6.022710139315879,1.3117758741015362,-9.301365656554538,-0.2819984510017849,-1.775975184279536,-7.974296337879749,6.95917924638143,6.915552713828694,10.331559713906763,-2.365423019884255,-4.373619134481183,-3.9971773698640685,-0.0430746641901114,-1.408270696469895,-1.7603528836343612,-1.6557522060782734,-2.9164824291773335,1.4355616867402172,0.16432878451307506,3.9611685158176706,6.039676976472016,3.0606830545560118
SW579,-49.56069195154951,-70.37420969435637,19.610068873971894,-24.788078610594233,-6.184596782006364,1.660757639109644,-13.384153961536795,-1.0682372116964098,-18.42732085079023,-19.585728804873916,-26.70530236643278,-9.436762817740018,6.5425112499565685,4.37303012618528,4.779046953331456,-3.5113157093227105,6.289080628276656,0.652464781067331,7.834541560127217,0.2518155545484086,-1.0397259257949527,6.184014248094936,1.729374295140462,-7.617307680749564,12.872381629392207,-10.78966399997251,-4.807963944306115,-5.47708900505861,2.4715900488298175,-2.4706384691168553,2.550920249086422,-5.201724881085063,-6.208309733599928,2.8472690306443766,-12.647263170587854,-5.128594172519526,-11.889368536070725,4.305580234843968,2.771731653849979,-5.076856699263778,0.9340909399331981,-12.65197787568153,-6.556411659491516,-14.564758327378808,18.19548164472215,10.241493601925464,2.6545894416419076,4.1330416928412745,7.318400804835781,2.5752173647796024,-2.0585840623399254,-7.018461481884367,1.1262276825213404,4.940892183452991,3.146669283030034,4.479930599260333,-10.13248715330032,-5.023461566157763,-4.18002906274173,2.953041813621798,-0.5970277240805486,0.5647848308465967,0.906929899065851,6.809850040935422,5.153835828866799,7.78079456464577,-1.6479187240025543,3.979992436741224,2.154021356686538,0.5976080167358409,10.497231894162901,-6.8433436805894905,-2.8111977921797306,-3.933599645237053,-1.3968117364053383,-2.0220194067589365,1.4126920979167579,-0.00844905567609181,2.8235897078207732,-2.7813237192267426,1.3869569974636136,0.022257387719088462,6.036212903707496,6.223444335965755,-1.7918102134204228,-1.417331114059163,-4.487042971547596,5.023496496948824,3.385498056816502,-6.7937217972591535,-2.542008999175821,-3.8753357229895533,-0.6909208378371725,5.42468092656208,9.326324973305574,1.5499131827452308,2.2860836989033624,-9.448983343450985,-0.39603604807684595,-0.5962948545251511,-4.149670520422911,4.369263019180065,-2.439719822082544,0.26401951800587026,-3.0942947647833505,3.7192982973273687,-5.614644242641385,-3.3028669039485514,5.863937451418619,-11.119148554956517,-0.9843025828280861,-6.004174206332286,-5.769288530787833,0.6521813786068049,-1.527108084798679,-0.08725968660342034,1.8371731375438047,-1.3420708707844713,6.529780046379505,2.8230464745951656,0.8234420266250213,0.26101526012525894,-3.572094581206101,-1.648479943245395,6.407622314502724,1.4275975260599245,4.635794394928687,1.4742545733614305
